algo,test,k,time,space
kiss,african_clawed_frog,1024,68.017611341,14751593695
kiss,african_clawed_frog,2048,68.120723498,14751593695
kiss,african_clawed_frog,0,68.314100072,14751593695
kiss,cat,2,37.710523409000004,14297517716
kiss,cat,4,41.366693186,14297518004
kiss,cat,8,55.534917140000005,14297518004
kiss,cat,16,59.84707276300001,14297518004
kiss,cat,32,60.52177351300001,14297517716
kiss,cat,64,61.164952069,14297518004
kiss,cat,128,61.30720584,14297518004
kiss,cat,256,61.174588611000004,14297518004
kiss,cat,512,61.368715995,14297518004
kiss,cat,1024,61.377761435000004,14297517716
kiss,cat,2048,61.643367825000006,14297518004
kiss,cat,0,61.32027510300001,14297517716
kiss,chicken,2,16.189138072000002,5996714502
kiss,chicken,4,17.710790199,5996714214
kiss,chicken,8,23.523457864,5996714214
kiss,chicken,16,24.730001019000003,5996714214
kiss,chicken,32,24.810759204,5996714214
kiss,chicken,64,25.017218973000002,5996714214
kiss,chicken,128,24.926084721000002,5996714214
kiss,chicken,256,25.161580635,5996714214
kiss,chicken,512,24.938473209,5996714214
kiss,chicken,1024,24.917659854,5996714502
kiss,chicken,2048,24.925140569,5996714214
kiss,chicken,0,25.068266509,5996714502
kiss,dog,2,34.933695521000004,13465973984
kiss,dog,4,38.577326569,13465973984
kiss,dog,8,51.724538985,13465973984
kiss,dog,16,55.58656433,13465973984
kiss,dog,32,56.423575509,13465973984
kiss,dog,64,56.574943958000006,13465973984
kiss,dog,128,57.022361088000004,13465973984
kiss,dog,256,56.958686221,13465973984
kiss,dog,512,57.028827504000006,13465973984
kiss,dog,1024,57.019327222,13465973984
kiss,dog,2048,57.228612789,13465973984
kiss,dog,0,57.070116621000004,13465973984
kiss,marmoset,2,43.110464318000005,15462128263
kiss,marmoset,4,47.519937626,15462128263
kiss,marmoset,8,63.251108669000004,15462128263
kiss,marmoset,16,67.85408470200001,15462128263
kiss,marmoset,32,69.645563475,15462128551
kiss,marmoset,64,70.238813551,15462128263
kiss,marmoset,128,70.678027841,15462128263
kiss,marmoset,256,70.790919856,15462128263
kiss,marmoset,512,70.58833808300001,15462128263
kiss,marmoset,1024,70.591553344,15462128263
kiss,marmoset,2048,70.791720216,15462128263
kiss,marmoset,0,70.889617867,15462128263
kiss,example,2,0.084051755,21725148
kiss,example,4,0.092528038,21725148
kiss,example,8,0.10002891800000001,21725148
kiss,example,16,0.109405211,21725148
kiss,example,32,0.110406338,21725148
kiss,example,64,0.12266681100000001,21725148
kiss,example,128,0.121999907,21725148
kiss,example,256,0.096746248,21724860
kiss,example,512,0.094454039,21725148
kiss,example,1024,0.123840138,21725148
kiss,example,2048,0.108748013,21725148
kiss,example,0,0.10988231500000001,21725148
kiss,hs37d5,2,45.690011726,16854241757
kiss,hs37d5,4,50.286876320000005,16854241757
kiss,hs37d5,8,67.179011883,16854241757
kiss,hs37d5,16,72.310434502,16854241757
kiss,hs37d5,32,73.954404958,16854241757
kiss,hs37d5,64,74.72912394400001,16854241757
kiss,hs37d5,128,75.220254658,16854241757
kiss,hs37d5,256,75.75820831300001,16854241757
kiss,hs37d5,512,76.277610863,16854241757
kiss,hs37d5,1024,76.00354133100001,16854241757
kiss,hs37d5,2048,76.04129572400001,16854241757
kiss,hs37d5,0,97.269107531,16854241757
kiss,dna,2,1.4311437,558609920
kiss,dna,4,1.4320329230000002,558610208
kiss,dna,8,1.6242268270000002,558609920
kiss,dna,16,1.572422433,558610208
kiss,dna,32,1.5951857,558610208
kiss,dna,64,1.6814771080000002,558610208
