algo,test,k,time,space
kiss,marmoset,512,59.954824242,15462259335
kiss,marmoset,1024,60.222466993000005,15462259335
kiss,marmoset,2048,60.467271745000005,15462259335
kiss,marmoset,0,60.179398124,15462259335
kiss,dna,2,1.4862117400000001,558740992
kiss,dna,4,1.442830945,558740992
kiss,dna,8,1.6166380230000001,558741280
kiss,dna,16,1.4398828620000002,558741280
kiss,dna,32,1.464521089,558740992
kiss,dna,64,1.51011201,558741280
kiss,dna,128,1.631182742,558741280
kiss,dna,256,1.771406615,558740992
kiss,dna,512,2.069202993,558741280
kiss,dna,1024,2.374519926,558740992
kiss,dna,2048,2.5676228070000002,558740992
kiss,dna,0,2.614761559,558741280
kiss,protein,2,1.596121193,558741984
kiss,protein,4,1.826782244,558742272
kiss,protein,8,1.8889902010000001,558741984
kiss,protein,16,1.8013445350000001,558742272
kiss,protein,32,1.783948078,558741984
kiss,protein,64,1.8597701100000001,558741984
kiss,protein,128,1.982647314,558742272
kiss,protein,256,2.179839297,558741984
kiss,protein,512,2.439708129,558741984
kiss,protein,1024,2.79705687,558742272
kiss,protein,2048,2.965832384,558741984
kiss,protein,0,3.0590007480000003,558742272
kiss,hs37d5,2,44.078452054,16854372829
kiss,hs37d5,4,49.953844706000005,16854372829
kiss,hs37d5,8,62.237773717,16854372829
kiss,hs37d5,16,61.451013696000004,16854372829
kiss,hs37d5,32,63.045111553000005,16854372829
kiss,hs37d5,64,63.442975033,16854372829
kiss,hs37d5,128,63.889215466,16854372829
kiss,hs37d5,256,64.44364545100001,16854372829
kiss,hs37d5,512,64.486639596,16854372829
kiss,hs37d5,1024,64.914875474,16854372829
kiss,hs37d5,2048,64.79275543,16854372829
kiss,hs37d5,0,87.64561996,16854372829
kiss,mouse,2,38.875940971000006,14397731890
kiss,mouse,4,43.921045108,14397731890
kiss,mouse,8,54.838125356000006,14397731890
kiss,mouse,16,53.648862491,14397731890
kiss,mouse,32,54.764105236000006,14397731890
kiss,mouse,64,55.269548842000006,14397731890
kiss,mouse,128,55.625967867,14397731890
kiss,mouse,256,56.033617529000004,14397731890
kiss,mouse,512,56.728878911,14397731890
kiss,mouse,1024,57.05127301500001,14397732594
kiss,mouse,2048,56.785722173,14397731890
kiss,mouse,0,56.966415270000006,14397731890
kiss,zebrafish,2,24.770887945000002,9775655895
kiss,zebrafish,4,27.719849856000003,9775655895
kiss,zebrafish,8,34.691248529,9775655895
kiss,zebrafish,16,32.202942635,9775655895
kiss,zebrafish,32,32.816428757000004,9775655895
kiss,zebrafish,64,33.298946367,9775655895
kiss,zebrafish,128,33.813286034,9775656183
kiss,zebrafish,256,33.92971131,9775655895
kiss,zebrafish,512,34.811748938,9775655895
kiss,zebrafish,1024,35.259657192,9775655895
kiss,zebrafish,2048,35.764914785,9775655895
kiss,zebrafish,0,53.462258212,9775655895
kiss,african_clawed_frog,2,44.377513353000005,14751724767
kiss,african_clawed_frog,4,49.545389389,14751724767
kiss,african_clawed_frog,8,59.723909131000006,14751724767
kiss,african_clawed_frog,16,58.454509593000004,14751724767
kiss,african_clawed_frog,32,58.681549501000006,14751724767
kiss,african_clawed_frog,64,59.405234330000006,14751724767
kiss,african_clawed_frog,128,59.422678063000006,14751724767
kiss,african_clawed_frog,256,59.084381959000005,14751724767
kiss,african_clawed_frog,512,59.149946109000005,14751724767
kiss,african_clawed_frog,1024,59.651078863,14751724767
kiss,african_clawed_frog,2048,59.642390875000004,14751724767
kiss,african_clawed_frog,0,59.601407385,14751724767
kiss,cat,2,36.27631915,14297649076
kiss,cat,4,40.927917661,14297649076
kiss,cat,8,51.416092287000005,14297649076
kiss,cat,16,50.560045190000004,14297649076
kiss,cat,32,51.601113709,14297649076
kiss,cat,64,51.944969137,14297649076
kiss,cat,128,52.026246921,14297649076
kiss,cat,256,51.872408574000005,14297649076
kiss,cat,512,51.870587749,14297649076
kiss,cat,1024,51.966287318000006,14297648788
kiss,cat,2048,51.900885458000005,14297649076
kiss,cat,0,52.277601224,14297649076
kiss,chicken,2,15.642922157000001,5996845286
kiss,chicken,4,17.502190412,5996845574
kiss,chicken,8,22.224691463000003,5996845286
kiss,chicken,16,21.259976544,5996845286
kiss,chicken,32,21.278174127,5996845286
kiss,chicken,64,21.335518426,5996845286
kiss,chicken,128,21.377401362,5996845574
kiss,chicken,256,21.366184711000002,5996845574
kiss,chicken,512,21.324461514000003,5996845574
kiss,chicken,1024,21.344418742000002,5996845286
kiss,chicken,2048,21.433578514,5996845574
kiss,chicken,0,21.364052742000002,5996845574
kiss,dog,2,33.518867682,13466105056
kiss,dog,4,37.819788360000004,13466105056
kiss,dog,8,47.677001001,13466105344
kiss,dog,16,47.024104104,13466105056
kiss,dog,32,47.651797571,13466105056
kiss,dog,64,48.092239613000004,13466105056
kiss,dog,128,48.101704568,13466105056
kiss,dog,256,48.341639086,13466105056
kiss,dog,512,48.286151909000004,13466105056
kiss,dog,1024,48.450605828,13466105056
kiss,dog,2048,48.145834193000006,13466105056
kiss,dog,0,48.296616192,13466105056
kiss,marmoset,2,41.510893014000004,15462259335
kiss,marmoset,4,46.798386435000005,15462259335
kiss,marmoset,8,58.668113476,15462259335
kiss,marmoset,16,57.94947079400001,15462259335
kiss,marmoset,32,59.209058271,15462259335
kiss,marmoset,64,59.93492130400001,15462259335
kiss,marmoset,128,59.610564037,15462259335
kiss,marmoset,256,60.060115199,15462259335
kiss,marmoset,512,60.03955718900001,15462259335
kiss,marmoset,1024,59.918052460000006,15462259335
kiss,marmoset,2048,60.045443504000005,15462259335
kiss,marmoset,0,60.14241736,15462259335
kiss-new,example,2,0.208336607,34612626
kiss-new,example,4,0.207128119,34612626
kiss-new,example,8,0.219726566,34612626
kiss-new,example,16,0.22440008600000003,34612626
kiss-new,example,32,0.228141019,34612626
kiss-new,example,64,0.22887699,34612626
kiss-new,example,128,0.229161307,34612626
kiss-new,example,256,0.21481054200000002,34612626
kiss-new,example,512,0.23118760400000002,34612626
kiss-new,example,1024,0.222531472,34612626
kiss-new,example,2048,0.22603845800000003,34612626
kiss-new,example,0,0.223987352,34612626
kiss-new,hs37d5,2,60.840782434000005,18599099614
kiss-new,hs37d5,4,63.078521667000004,18599099614
kiss-new,hs37d5,8,64.517946484,18599099614
kiss-new,hs37d5,16,65.384678792,18599099614
kiss-new,hs37d5,32,66.200813181,18599099614
kiss-new,hs37d5,64,66.55514997200001,18599099614
kiss-new,hs37d5,128,67.159481203,18599099614
kiss-new,hs37d5,256,67.276214647,18599099614
kiss-new,hs37d5,512,67.962210795,18599099614
kiss-new,hs37d5,1024,68.044738928,18599099614
kiss-new,hs37d5,2048,68.0250216,18599099614
kiss-new,hs37d5,0,67.72634131000001,18599099614
kiss-new,dna,2,1.797553336,621026773
kiss-new,dna,4,1.9432968140000002,621026773
kiss-new,dna,8,2.045303702,621026773
kiss-new,dna,16,2.1468436570000002,621026773
kiss-new,dna,32,2.35515353,621026773
kiss-new,dna,64,2.490319109,621026773
kiss-new,dna,128,2.871769725,621026773
kiss-new,dna,256,2.7764155400000003,621026773
kiss-new,dna,512,2.720075886,621026773
kiss-new,dna,1024,2.774630998,621026773
kiss-new,dna,2048,2.7364721690000002,621026773
kiss-new,dna,0,2.744049239,621026773
kiss-new,protein,2,2.287262556,763859025
kiss-new,protein,4,2.5168194290000003,764382529
kiss-new,protein,8,2.7211461540000004,764643273
kiss-new,protein,16,2.981963678,764382333
kiss-new,protein,32,3.301558055,764643273
kiss-new,protein,64,3.450590092,764118977
kiss-new,protein,128,3.6365247750000003,764118977
kiss-new,protein,256,3.748051031,764381721
kiss-new,protein,512,3.8483309450000003,764382117
kiss-new,protein,1024,3.8717137690000003,764381125
kiss-new,protein,2048,3.8914073260000004,763598685
kiss-new,protein,0,3.9287820430000004,764643273
kiss-new,mouse,2,52.908617363000005,16004162598
kiss-new,mouse,4,54.388774307000006,16004162598
kiss-new,mouse,8,55.722220955000004,16004162598
kiss-new,mouse,16,56.520038364,16004162598
kiss-new,mouse,32,57.576162619,16004162598
kiss-new,mouse,64,57.89375492600001,16004162598
kiss-new,mouse,128,58.541107617,16004162598
kiss-new,mouse,256,58.665668540000006,16004162598
kiss-new,mouse,512,58.774719948000005,16004162598
kiss-new,mouse,1024,58.763815830000006,16004162598
kiss-new,mouse,2048,58.625047072,16004162598
kiss-new,mouse,0,59.03132346700001,16004162598
kiss-new,zebrafish,2,32.862424312,10857154120
kiss-new,zebrafish,4,35.194514677,10857154120
kiss-new,zebrafish,8,37.013561517,10857154120
kiss-new,zebrafish,16,38.742695063,10857154120
kiss-new,zebrafish,32,39.638726198,10857154120
kiss-new,zebrafish,64,40.618050348000004,10857154120
kiss-new,zebrafish,128,41.317797715000005,10857154120
kiss-new,zebrafish,256,42.389270808,10857154120
kiss-new,zebrafish,512,42.681774311000005,10857154120
kiss-new,zebrafish,1024,43.433335401,10857154120
kiss-new,zebrafish,2048,44.043412971,10857154120
kiss-new,zebrafish,0,45.522434023,10857154120
kiss-new,african_clawed_frog,2,57.265555837,15190560278
kiss-new,african_clawed_frog,4,58.841558501,15190560278
kiss-new,african_clawed_frog,8,59.498588181,15190560278
kiss-new,african_clawed_frog,16,60.72249404,15190560278
kiss-new,african_clawed_frog,32,61.188050798000006,15190560278
kiss-new,african_clawed_frog,64,61.903583097,15190560278
kiss-new,african_clawed_frog,128,61.04049122200001,15190560278
kiss-new,african_clawed_frog,256,62.858246271000006,15190560278
kiss-new,african_clawed_frog,512,60.935023427000004,15190560278
kiss-new,african_clawed_frog,1024,61.649430371,15190560278
kiss-new,african_clawed_frog,2048,61.508830916,15190560278
kiss-new,african_clawed_frog,0,61.30945118100001,15190560278
kiss-new,cat,2,49.821139575000004,15592545008
kiss-new,cat,4,51.027104782,15592545008
kiss-new,cat,8,51.56499034,15592545008
kiss-new,cat,16,51.884201851,15592545008
kiss-new,cat,32,51.910830080000004,15592545008
kiss-new,cat,64,52.224848441000006,15592545008
kiss-new,cat,128,52.104245239,15592545008
kiss-new,cat,256,52.250612311000005,15592545008
kiss-new,cat,512,52.642290636000006,15592545008
kiss-new,cat,1024,51.914308423,15592545008
kiss-new,cat,2048,52.40402223700001,15592545008
kiss-new,cat,0,52.453302455000006,15592545008
kiss-new,chicken,2,21.124679673000003,6572322290
kiss-new,chicken,4,21.609289574,6572318770
kiss-new,chicken,8,21.805360099,6572320882
kiss-new,chicken,16,21.528848963,6572320178
kiss-new,chicken,32,21.592355098000002,6572320178
kiss-new,chicken,64,21.588762145,6572321586
kiss-new,chicken,128,21.598633012,6572322290
kiss-new,chicken,256,21.746733431000003,6572321586
kiss-new,chicken,512,21.678832632000002,6572320178
kiss-new,chicken,1024,21.691709343000003,6572321586
kiss-new,chicken,2048,21.602309619,6572322994
kiss-new,chicken,0,21.724538285,6572322290
kiss-new,dog,2,46.33019542,14760825095
kiss-new,dog,4,46.998879547,14760825095
kiss-new,dog,8,47.424013110000004,14760825095
kiss-new,dog,16,47.91667684,14760825095
kiss-new,dog,32,47.785829851,14760825095
kiss-new,dog,64,48.11157363,14760825095
kiss-new,dog,128,47.871835807000004,14760825095
kiss-new,dog,256,48.082271371000004,14760825095
kiss-new,dog,512,47.864048109,14760825095
kiss-new,dog,1024,47.917146185,14760825095
kiss-new,dog,2048,47.928865219,14760825095
kiss-new,dog,0,47.92650854,14760825095
kiss-new,marmoset,2,56.722403285000006,16995060880
kiss-new,marmoset,4,58.527782506,16995060880
kiss-new,marmoset,8,59.499801006000006,16995060880
kiss-new,marmoset,16,61.039506710000005,16995060880
kiss-new,marmoset,32,60.500877171000006,16995060880
kiss-new,marmoset,64,60.538714239,16995060880
