algo,test,k,num-threads,time,space
kiss-2,human_protein_5640,2,32,0.14915071700000002,251396096
kiss-2,human_protein_5640,4,32,0.152811634,251568128
kiss-2,human_protein_5640,8,32,0.15590859,251424768
kiss-2,human_protein_5640,16,32,0.156210643,251568128
kiss-2,human_protein_5640,32,32,0.164607778,251453440
kiss-2,human_protein_5640,64,32,0.15939745100000002,251420672
kiss-2,human_protein_5640,128,32,0.15898252200000001,251523072
kiss-2,human_protein_5640,256,32,0.160068235,251396096
kiss-2,human_protein_5640,-1,32,0.16142150300000002,251506688
kiss-2,mouse_protein_589,2,32,0.17632809200000002,254754816
kiss-2,mouse_protein_589,4,32,0.162133922,254803968
kiss-2,mouse_protein_589,8,32,0.16139841700000002,254820352
kiss-2,mouse_protein_589,16,32,0.1644336,254726144
kiss-2,mouse_protein_589,32,32,0.18438416100000002,254799872
kiss-2,mouse_protein_589,64,32,0.16405760900000002,254636032
kiss-2,mouse_protein_589,128,32,0.168367131,254693376
kiss-2,mouse_protein_589,256,32,0.192168051,254812160
kiss-2,mouse_protein_589,-1,32,0.16471174600000002,254697472
kiss-2,zebrafish_protein_437,2,32,0.183716172,286543872
kiss-2,zebrafish_protein_437,4,32,0.191463719,286621696
kiss-2,zebrafish_protein_437,8,32,0.20140866000000002,286453760
kiss-2,zebrafish_protein_437,16,32,0.196281009,286646272
kiss-2,zebrafish_protein_437,32,32,0.198868021,286617600
kiss-2,zebrafish_protein_437,64,32,0.203476964,286621696
kiss-2,zebrafish_protein_437,128,32,0.201311027,286543872
kiss-2,zebrafish_protein_437,256,32,0.201847083,286584832
kiss-2,zebrafish_protein_437,-1,32,0.204270418,286552064
kiss-2,human_protein_5640,2,32,0.151003104,251490304
kiss-2,human_protein_5640,4,32,0.155941573,251392000
kiss-2,human_protein_5640,8,32,0.15732378900000002,251498496
kiss-2,human_protein_5640,16,32,0.161871017,251535360
kiss-2,human_protein_5640,32,32,0.157725096,251498496
kiss-2,human_protein_5640,64,32,0.162259544,251420672
kiss-2,human_protein_5640,128,32,0.159065535,251518976
kiss-2,human_protein_5640,256,32,0.159994423,251437056
kiss-2,human_protein_5640,-1,32,0.156271966,251518976
kiss-2,mouse_protein_589,2,32,0.156879286,254787584
kiss-2,mouse_protein_589,4,32,0.159167169,254722048
kiss-2,mouse_protein_589,8,32,0.161655649,254820352
kiss-2,mouse_protein_589,16,32,0.16265273100000002,254636032
kiss-2,mouse_protein_589,32,32,0.16311647,254803968
kiss-2,mouse_protein_589,64,32,0.1671502,254726144
kiss-2,mouse_protein_589,128,32,0.18584718,254722048
kiss-2,mouse_protein_589,256,32,0.16337278000000002,254849024
kiss-2,mouse_protein_589,-1,32,0.191736168,254824448
kiss-2,zebrafish_protein_437,2,32,0.182278939,286478336
kiss-2,zebrafish_protein_437,4,32,0.188391852,286580736
kiss-2,zebrafish_protein_437,8,32,0.19226839,286625792
kiss-2,zebrafish_protein_437,16,32,0.19601516300000002,286515200
kiss-2,zebrafish_protein_437,32,32,0.201238296,286568448
kiss-2,zebrafish_protein_437,64,32,0.198476389,286670848
kiss-2,zebrafish_protein_437,128,32,0.20300368800000002,286658560
kiss-2,zebrafish_protein_437,256,32,0.200086485,286642176
kiss-2,zebrafish_protein_437,-1,32,0.20332259400000002,286543872
kiss-2,human_protein_5640,2,32,0.166877081,251494400
kiss-2,human_protein_5640,4,32,0.15383353800000002,251420672
kiss-2,human_protein_5640,8,32,0.154589953,251473920
kiss-2,human_protein_5640,16,32,0.158236089,251498496
kiss-2,human_protein_5640,32,32,0.177683897,251449344
kiss-2,human_protein_5640,64,32,0.15905307500000002,251318272
kiss-2,human_protein_5640,128,32,0.163478529,251473920
kiss-2,human_protein_5640,256,32,0.162362277,251387904
kiss-2,human_protein_5640,-1,32,0.16201669900000001,251576320
kiss-2,mouse_protein_589,2,32,0.15631940600000002,254816256
kiss-2,mouse_protein_589,4,32,0.15790141400000002,254783488
kiss-2,mouse_protein_589,8,32,0.162698702,254816256
kiss-2,mouse_protein_589,16,32,0.160429392,254885888
kiss-2,mouse_protein_589,32,32,0.16031912,254799872
kiss-2,mouse_protein_589,64,32,0.162185467,254697472
kiss-2,mouse_protein_589,128,32,0.16903356,254701568
kiss-2,mouse_protein_589,256,32,0.16427638800000002,254803968
kiss-2,mouse_protein_589,-1,32,0.167045633,254840832
kiss-2,zebrafish_protein_437,2,32,0.19759794,286552064
kiss-2,zebrafish_protein_437,4,32,0.193011167,286576640
kiss-2,zebrafish_protein_437,8,32,0.22264277400000002,286519296
kiss-2,zebrafish_protein_437,16,32,0.199363549,286453760
kiss-2,zebrafish_protein_437,32,32,0.20034610800000002,286453760
kiss-2,zebrafish_protein_437,64,32,0.20131780500000002,286547968
kiss-2,zebrafish_protein_437,128,32,0.20339304400000002,286642176
kiss-2,zebrafish_protein_437,256,32,0.229836226,286617600
kiss-2,zebrafish_protein_437,-1,32,0.21830912100000002,286638080
kiss-1,human_protein_5640,256,1,1.000254538,65740800
kiss-1,human_protein_5640,256,2,0.9446008010000001,70443008
kiss-1,human_protein_5640,256,4,0.91114996,79032320
kiss-1,human_protein_5640,256,8,0.8950222470000001,96587776
kiss-1,human_protein_5640,256,16,0.9014403740000001,131715072
kiss-1,human_protein_5640,256,32,0.933325146,202289152
kiss-1,human_protein_5640,256,64,1.001546539,343146496
kiss-1,human_protein_5640,256,128,1.115926338,624730112
kiss-1,mouse_protein_589,256,1,1.031714544,67526656
kiss-1,mouse_protein_589,256,2,0.9670716770000001,71815168
kiss-1,mouse_protein_589,256,4,0.926476073,80535552
kiss-1,mouse_protein_589,256,8,0.921618153,98234368
kiss-1,mouse_protein_589,256,16,0.9095100960000001,133414912
kiss-1,mouse_protein_589,256,32,0.9299349800000001,203915264
kiss-1,mouse_protein_589,256,64,1.029153575,344817664
kiss-1,mouse_protein_589,256,128,1.145897749,626339840
kiss-1,zebrafish_protein_437,256,1,1.380955804,84676608
kiss-1,zebrafish_protein_437,256,2,1.3002078890000002,89006080
kiss-1,zebrafish_protein_437,256,4,1.2445876,97759232
kiss-1,zebrafish_protein_437,256,8,1.2171438030000001,115392512
kiss-1,zebrafish_protein_437,256,16,1.226729698,150646784
kiss-1,zebrafish_protein_437,256,32,1.242611262,221134848
kiss-1,zebrafish_protein_437,256,64,1.3052449890000002,361873408
kiss-1,zebrafish_protein_437,256,128,1.5084451010000002,643801088
kiss-1,human_protein_5640,256,1,1.014662326,65773568
kiss-1,human_protein_5640,256,2,0.9752857220000001,70369280
kiss-1,human_protein_5640,256,4,0.8970149930000001,78848000
kiss-1,human_protein_5640,256,8,0.9106761820000001,96665600
kiss-1,human_protein_5640,256,16,0.887889539,131563520
kiss-1,human_protein_5640,256,32,0.9167279620000001,202182656
kiss-1,human_protein_5640,256,64,0.9749782480000001,343097344
kiss-1,human_protein_5640,256,128,1.107588752,624783360
kiss-1,mouse_protein_589,256,1,1.022982665,67497984
kiss-1,mouse_protein_589,256,2,0.963256976,71786496
kiss-1,mouse_protein_589,256,4,0.919939316,80547840
kiss-1,mouse_protein_589,256,8,0.9261911460000001,98271232
kiss-1,mouse_protein_589,256,16,0.9075558330000001,133312512
kiss-1,mouse_protein_589,256,32,0.9413513160000001,203874304
kiss-1,mouse_protein_589,256,64,0.9999923430000001,344645632
kiss-1,mouse_protein_589,256,128,1.093077448,626544640
kiss-1,zebrafish_protein_437,256,1,1.3772173710000002,84676608
kiss-1,zebrafish_protein_437,256,2,1.268523651,89010176
kiss-1,zebrafish_protein_437,256,4,1.2491880830000002,98000896
